date,year,month,month_name,quarter,quarter_label,year_month,day_of_week,is_weekend,week_number
2017-02-03,2017,2,February,1,Q1,2017-02,Friday,0,5
2017-02-04,2017,2,February,1,Q1,2017-02,Saturday,1,5
2017-02-05,2017,2,February,1,Q1,2017-02,Sunday,1,5
2017-02-06,2017,2,February,1,Q1,2017-02,Monday,0,6
2017-02-07,2017,2,February,1,Q1,2017-02,Tuesday,0,6
2017-02-08,2017,2,February,1,Q1,2017-02,Wednesday,0,6
2017-02-09,2017,2,February,1,Q1,2017-02,Thursday,0,6
2017-02-10,2017,2,February,1,Q1,2017-02,Friday,0,6
2017-02-11,2017,2,February,1,Q1,2017-02,Saturday,1,6
2017-02-12,2017,2,February,1,Q1,2017-02,Sunday,1,6
2017-02-13,2017,2,February,1,Q1,2017-02,Monday,0,7
2017-02-14,2017,2,February,1,Q1,2017-02,Tuesday,0,7
2017-02-15,2017,2,February,1,Q1,2017-02,Wednesday,0,7
2017-02-16,2017,2,February,1,Q1,2017-02,Thursday,0,7
2017-02-17,2017,2,February,1,Q1,2017-02,Friday,0,7
2017-02-18,2017,2,February,1,Q1,2017-02,Saturday,1,7
2017-02-19,2017,2,February,1,Q1,2017-02,Sunday,1,7
2017-02-20,2017,2,February,1,Q1,2017-02,Monday,0,8
2017-02-21,2017,2,February,1,Q1,2017-02,Tuesday,0,8
2017-02-22,2017,2,February,1,Q1,2017-02,Wednesday,0,8
2017-02-23,2017,2,February,1,Q1,2017-02,Thursday,0,8
2017-02-24,2017,2,February,1,Q1,2017-02,Friday,0,8
2017-02-25,2017,2,February,1,Q1,2017-02,Saturday,1,8
2017-02-26,2017,2,February,1,Q1,2017-02,Sunday,1,8
2017-02-27,2017,2,February,1,Q1,2017-02,Monday,0,9
2017-02-28,2017,2,February,1,Q1,2017-02,Tuesday,0,9
2017-03-01,2017,3,March,1,Q1,2017-03,Wednesday,0,9
2017-03-02,2017,3,March,1,Q1,2017-03,Thursday,0,9
2017-03-03,2017,3,March,1,Q1,2017-03,Friday,0,9
2017-03-04,2017,3,March,1,Q1,2017-03,Saturday,1,9
2017-03-05,2017,3,March,1,Q1,2017-03,Sunday,1,9
2017-03-06,2017,3,March,1,Q1,2017-03,Monday,0,10
2017-03-07,2017,3,March,1,Q1,2017-03,Tuesday,0,10
2017-03-08,2017,3,March,1,Q1,2017-03,Wednesday,0,10
2017-03-09,2017,3,March,1,Q1,2017-03,Thursday,0,10
2017-03-10,2017,3,March,1,Q1,2017-03,Friday,0,10
2017-03-11,2017,3,March,1,Q1,2017-03,Saturday,1,10
2017-03-12,2017,3,March,1,Q1,2017-03,Sunday,1,10
2017-03-13,2017,3,March,1,Q1,2017-03,Monday,0,11
2017-03-14,2017,3,March,1,Q1,2017-03,Tuesday,0,11
2017-03-15,2017,3,March,1,Q1,2017-03,Wednesday,0,11
2017-03-16,2017,3,March,1,Q1,2017-03,Thursday,0,11
2017-03-17,2017,3,March,1,Q1,2017-03,Friday,0,11
2017-03-18,2017,3,March,1,Q1,2017-03,Saturday,1,11
2017-03-19,2017,3,March,1,Q1,2017-03,Sunday,1,11
2017-03-20,2017,3,March,1,Q1,2017-03,Monday,0,12
2017-03-21,2017,3,March,1,Q1,2017-03,Tuesday,0,12
2017-03-22,2017,3,March,1,Q1,2017-03,Wednesday,0,12
2017-03-23,2017,3,March,1,Q1,2017-03,Thursday,0,12
2017-03-24,2017,3,March,1,Q1,2017-03,Friday,0,12
2017-03-25,2017,3,March,1,Q1,2017-03,Saturday,1,12
2017-03-26,2017,3,March,1,Q1,2017-03,Sunday,1,12
2017-03-27,2017,3,March,1,Q1,2017-03,Monday,0,13
2017-03-28,2017,3,March,1,Q1,2017-03,Tuesday,0,13
2017-03-29,2017,3,March,1,Q1,2017-03,Wednesday,0,13
2017-03-30,2017,3,March,1,Q1,2017-03,Thursday,0,13
2017-03-31,2017,3,March,1,Q1,2017-03,Friday,0,13
